Date,2016 ice cream sales,2017 ice cream sales,2016 water sales,2017 water sales,2016 insecticide control sales,2017 insecticide control sales,2016 jelly sales,2017 jelly sales,2016 AVG temp,2016 MAX temp,2016 MIN temp,2016 Humidity,2016 Rainfall,2017 AVG temp,2017 MAX temp,2017 MIN temp,2017 Humidity,2017 Rainfall,2016 yogurt sales,2017 yogurt sales,2016 beer sales,2017 beer sales,2016 dehumidifier sales,2017 dehumidifier sales,2016 plant protein sales,2017 plant protein sales
15/4,41440,100662,125066,192501,3537,5695,22193.13,32968,19.2,25.4,14.7,56,0,22.8,31.2,15.4,55,0,523315,806282,78227,104460,7616,7257,35311,48042
16/4,80048,91485,171985,175466,3443,6706,52993.23,32024,18.6,22.5,17,82,21.6,22.5,29.2,17.9,67,0,791167,760774,111221,96773,11177,8134,61167,50294
17/4,57478,78977,162285,110012,3147,9059,63104.74,16762,17.8,22.1,15,58,0,21.8,24.5,19.5,76,21.5,778226,448604,101413,55671,12331,5260,49309,28452
18/4,34604,56876,101167,125415,3368,14451,48171.97,18556,15.6,20.6,12.3,58,0.7,22,28.2,18.2,54,0,450647,469182,60306,61020,7778,5935,28302,30999
19/4,30173,52367,98381,114061,3166,16978,16607.67,16391,16.9,23,12.7,61,0,20.2,24.8,15.6,44,0,424012,457068,65211,56422,6189,5098,28043,34280
20/4,29646,52762,98450,113587,4427,12210,45917.67,17350,18.3,21,15.5,88,5,20.4,26.5,16.8,79,3,411155,435307,57726,56721,5691,4939,25267,31535
21/4,48940,60229,111634,127476,4904,12293,18101.1,21793,19.7,23.4,16.6,81,21.2,19,22.4,17.4,62,0,432769,541393,67473,72229,6149,5185,34868,40834
22/4,62356,98222,173645,174128,3585,12899,27646.02,34237,21.1,26,16.6,70,0,17,20.9,14,56,0,761499,789105,120537,104719,10354,7588,73407,54198
23/4,65362,97957,182403,182944,3316,10074,32255.88,32507,14.7,21.8,13.8,92,27.5,17.2,22.7,13.3,54,0,753323,759921,116526,91570,10069,7753,45064,53020
24/4,89486,49970,157875,98028,3914,8306,32105.32,15779,16.1,18.8,14.1,80,1.1,19,24.7,14.3,59,0,757424,416328,115120,52915,11458,5207,45638,30150
25/4,37896,42358,109918,90777,3352,10751,16429.37,14698,14.8,16.6,13.7,82,1.8,19.9,24.3,16.5,71,0.7,429824,395409,63993,50599,7012,4289,26796,27388
26/4,35666,44728,101144,99328,5415,14196,16358.7,16478,16,16.8,15.1,89,5.1,16.7,20.1,15.5,77,11.8,416544,406849,63711,50929,6634,4570,25829,29297
27/4,42359,50110,136207,116703,6238,7533,19294.46,20737,15.2,17.4,13.4,84,0.6,16.8,21.2,13.6,46,0,453534,568677,70015,62557,6956,4433,28724,54290
28/4,47978,77176,134335,175981,6607,7878,23278.82,30201,18.2,22.6,14.1,69,0.1,19.1,24.9,13.5,47,0,468459,755907,83535,92861,6498,5078,54787,70282
29/4,58558,123191,209034,245745,5468,8758,31145.83,42971,20.1,26.6,14.1,52,0,22.5,29,16.2,40,0,753943,1000906,109137,130001,6833,6255,70356,79355
30/4,110895,132791,250862,245027,5312,11729,44233.62,45292,21.1,27,16.1,47,0,23.8,30.6,18.1,39,0,1022949,986700,155643,135922,8842,6913,68608,73144
1/5,126541,122808,263158,213626,5726,17907,80221,49522,22.3,28.8,17,63,0,22.5,28.6,18.5,65,0,1063538,1039602,198693,122384,10549,7292,123484,157315
2/5,88017,65136,183644,125244,6408,16391,74693,19144,22.3,24.1,20.3,82,0.7,19.5,22.2,17.6,76,0.8,995478,439054,153263,70660,10102,5328,86084,69824
3/5,52150,59020,122169,122641,8496,21462,19815,17273,22,26.5,17.3,55,23.6,19.4,22.9,17.6,76,0,473017,410481,102691,65529,6418,4483,84503,72157
4/5,60458,57456,130763,103396,12710,14059,19400,24786,23.4,29.1,17.3,47,0,19.9,20.6,19.2,89,4.5,508591,407694,84296,67525,6996,4242,73061,31093
5/5,96267,78198,124644,127373,18523,16340,18052,27395,22.8,25.1,21.4,85,1.2,20.1,21.6,19,82,0,487576,506643,90221,80243,6665,4667,28022,37998
6/5,76989,121490,149126,177791,11781,14474,22076,34654,23.9,29.6,20.5,82,4.9,20.7,24.9,18,64,0,574177,734182,104872,110722,7118,6665,75552,49750
7/5,98630,115288,192420,170659,14336,9871,37334,33228,17.8,23.2,13.9,67,2.8,21.8,27.1,18.5,47,0,827052,732693,140569,106087,9947,7160,48260,59079
8/5,119687,58487,182710,105233,10324,29805,125501,16471,16.8,18.2,14.1,75,0.6,18.1,21.7,14.8,69,3.7,838105,426137,128544,63199,10984,3951,58467,26371
9/5,48067,64326,118272,125185,8945,18486,17725,25582,17.4,19.5,15.9,87,2.1,20,22.2,18.2,72,0,451162,442753,73856,66257,6203,4602,27627,27101
10/5,63673,66469,144003,120195,9490,25903,17559,23618,16.1,17.9,13.2,86,17,23.9,32.1,16.6,54,0,481293,436955,95210,74933,5963,4670,33712,28475
11/5,60351,72788,122837,124750,11830,43125,18439,16133,19.6,26.1,14.1,67,0,26.7,33.9,20.9,52,0,507389,467781,94546,68391,6571,4234,29422,29423
12/5,75872,101714,128261,146248,12918,18001,17689,21566,21.7,27.4,16.9,62,0,20,27.6,17.9,81,21.3,455921,607964,73454,82861,6569,4738,28946,36360
13/5,70238,157523,147096,199012,9089,18562,22737,32770,19.3,21.9,17.6,79,0,22.9,29.9,17.3,66,0,603042,852579,117350,122584,6267,6969,36294,49612
14/5,120141,135094,186397,194692,8453,17347,36954,34056,20.6,24.1,17.4,80,0,23,27.8,20,64,0,811525,843706,149777,118905,8691,7644,50211,51795
